Index,FTSEMIB.MI.Open,FTSEMIB.MI.High,FTSEMIB.MI.Low,FTSEMIB.MI.Close,FTSEMIB.MI.Volume,FTSEMIB.MI.Adjusted
28/10/2020,18297,18347,17843,17898,679900600,17898
29/10/2020,17965,18082,17636,17872,552011900,17872
30/10/2020,17683,17970,17670,17943,470261200,17943
2/11/2020,17968,18400,17806,18400,472405000,18400
3/11/2020,18536,18986,18508,18986,537178700,18986
4/11/2020,18673,19395,18577,19358,571091200,19358
5/11/2020,19490,19788,19480,19731,497400000,19731
6/11/2020,19686,19822,19482,19682,471238000,19682
9/11/2020,20011,20932,19961,20750,1136870400,20750
10/11/2020,20788,20929,20584,20852,936791400,20852
11/11/2020,20958,21050,20816,20993,587145900,20993
12/11/2020,20826,20960,20710,20818,543216500,20818
13/11/2020,20707,20965,20701,20904,426848500,20904
16/11/2020,21145,21435,21008,21317,682567300,21317
17/11/2020,21307,21495,21248,21435,491659300,21435
18/11/2020,21421,21659,21366,21623,587685300,21623
19/11/2020,21486,21680,21426,21536,513106200,21536
20/11/2020,21522,21771,21496,21707,493720900,21707
23/11/2020,21871,21996,21702,21702,548503600,21702
24/11/2020,21985,22150,21953,22145,721630200,22145
25/11/2020,22281,22344,22054,22304,641951300,22304
26/11/2020,22385,22387,22201,22201,541595900,22201
27/11/2020,22173,22386,22167,22352,583607500,22352
30/11/2020,22210,22353,22061,22061,734672200,22061
1/12/2020,22193,22227,22010,22100,578774400,22100
2/12/2020,22020,22043,21784,21972,543377900,21972
3/12/2020,22019,22034,21902,22007,425138400,22007
4/12/2020,22030,22197,22027,22179,507922100,22179
7/12/2020,22130,22156,21964,22107,351279100,22107
8/12/2020,22064,22106,21904,22053,275971200,22053
9/12/2020,22215,22274,21957,21970,471702800,21970
10/12/2020,22032,22089,21746,21916,450860100,21916
11/12/2020,21857,21904,21572,21702,428052900,21702
14/12/2020,21863,21997,21760,21760,389977700,21760
15/12/2020,21718,21964,21676,21935,347534000,21935
